2012-06-07 17:31:20 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:33:21 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:35:42 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:37:26 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:39:35 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:41:34 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:43:43 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:45:40 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:47:48 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:49:49 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:51:59 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:53:52 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:56:04 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 17:58:05 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 18:00:11 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 18:02:10 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 18:04:00 - [id=0] STATUS: Downloaded 51 bytes of new media content, 0/2 files
2012-06-07 18:05:56 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-07 18:08:06 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-07 18:10:05 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-07 18:12:15 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-07 18:50:41 - [id=0] Application NewsCasterD v1.0.38  Shutting down
2012-06-07 21:03:17 - [id=0] Application NewsCasterD v1.0.38  Restarted (192.168.245.1/Ethernet LAN), Startup sequence begun...
2012-06-07 21:03:31 - [id=0] Downloaded XMLNews, 561639 bytes in 7.7 seconds
2012-06-07 21:07:12 - [id=0] STATUS: Downloaded 13 bytes of new media content, 0/2 files
2012-06-07 21:08:10 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 21:10:02 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:12:12 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:14:08 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:16:18 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:18:16 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:20:27 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:22:24 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:24:34 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:26:30 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:28:40 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:30:36 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:32:47 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:34:44 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:36:57 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:38:54 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:41:03 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:43:02 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:45:11 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:47:07 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:49:17 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:51:17 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:53:25 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:55:22 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:57:32 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 21:59:29 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:01:40 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:03:36 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:03:42 - [id=0] Downloaded XMLNews, 330501 bytes in 3.5 seconds
2012-06-07 22:05:54 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:07:48 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:09:59 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:11:57 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:14:06 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:16:03 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 22:18:13 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
